SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-27-2009,Condo/Co-op,53 CONCIERTO,Irvine,CA,92620,580000,3,2.75,WD - Woodbury,2026,,2005,3890,286,271,Sold,,,http://www.redfin.com/CA/Irvine/53-Concierto-92620/home/7210846,CRMLS,S559796,N,Y,33.697752,-117.7547389
PAST SALE,January-2-2015,Single Family Residential,6 Santa Monica Aisle,Irvine,CA,92606,860800,4,2.75,WP - Westpark,2004,3400,1994,1905,430,156,Sold,,,http://www.redfin.com/CA/Irvine/6-Santa-Monica-Aisle-92606/home/4627708,CRMLS,PW14237710,N,Y,33.68927,-117.8097184
PAST SALE,,Condo/Co-op,113 Tallowood,Irvine,CA,92618,578000,2,2.5,,1171,,,,494,,,,,http://www.redfin.com/CA/Irvine/113-Tallowood-92618/home/143217700,,,N,Y,33.682297,-117.7558864
PAST SALE,January-23-2018,Condo/Co-op,64 Tallowood,Irvine,CA,92620,750000,3,3.0,CV - Cypress Village,1542,,2015,788,486,331,Sold,,,http://www.redfin.com/CA/Irvine/64-Tallowood-92620/home/112722782,CRMLS,OC17242555,N,Y,33.6814198,-117.7563253
PAST SALE,,Single Family Residential,2 Santa Cruz Aisle,Irvine,CA,92606,333000,3,2.5,,1673,3000,1996,,199,,,,,http://www.redfin.com/CA/Irvine/2-Santa-Cruz-Aisle-92606/home/4627784,,,N,Y,33.6892084,-117.8084819
PAST SALE,October-2-2015,Condo/Co-op,192 Wild Lilac,Irvine,CA,92620,630000,3,3.0,WD - Woodbury,1878,1900,2005,1632,335,270,Sold,,,http://www.redfin.com/CA/Irvine/192-Wild-Lilac-92620/home/7219214,CRMLS,OC15096463,N,Y,33.7002599,-117.748915
PAST SALE,October-29-2013,Single Family Residential,22 Sanctuary,Irvine,CA,92620,1485000,5,4.0,WD - Woodbury,3531,7161,2006,2335,421,110,Sold,,,http://www.redfin.com/CA/Irvine/22-Sanctuary-92620/home/5959290,CRMLS,OC13089391,N,Y,33.6932463,-117.756968
PAST SALE,May-20-2010,Single Family Residential,55 RISING SUN,Irvine,CA,92620,895000,5,3.0,WD - Woodbury,2303,3580,2005,3593,389,105,Sold,,,http://www.redfin.com/CA/Irvine/55-Rising-Sun-92620/home/5958952,CRMLS,U10001699,N,Y,33.6946293,-117.7550898
PAST SALE,October-23-2009,Single Family Residential,14 Santa Victoria Aisle,Irvine,CA,92606,671000,3,2.5,WP - Westpark,1800,3120,1997,3802,373,151,Sold,,,http://www.redfin.com/CA/Irvine/14-Santa-Victoria-Aisle-92606/home/4627864,CRMLS,K09100223,N,Y,33.6888319,-117.8103596
PAST SALE,July-2-2009,Condo/Co-op,56 CONCIERTO,Irvine,CA,92620,481000,3,3.0,WD - Woodbury,1552,,2006,3915,310,256,Sold,,,http://www.redfin.com/CA/Irvine/56-Concierto-92620/home/7218970,CRMLS,S546272,N,Y,33.6973654,-117.7552012
PAST SALE,,Unknown,64 Tallowood,Irvine,CA,92618,639000,,,,,,,,,,,,,http://www.redfin.com/CA/Irvine/64-Tallowood-92618/home/103690364,,,N,Y,33.6814198,-117.7563253
PAST SALE,,Single Family Residential,8 Santa Catalina Aisle,Irvine,CA,92606,244500,3,2.5,,1673,3752,,,146,,,,,http://www.redfin.com/CA/Irvine/8-Santa-Catalina-Aisle-92606/home/4627830,,,N,Y,33.6889161,-117.8075814
PAST SALE,June-29-2012,Condo/Co-op,72 CHANTILLY,Irvine,CA,92620,405000,3,2.5,WD - Woodbury,1275,,2005,2822,318,199,Sold,,,http://www.redfin.com/CA/Irvine/72-Chantilly-92620/home/7210088,CRMLS,P815693,N,Y,33.701843,-117.7494979
PAST SALE,,Unknown,80 Lamplighter,Irvine,CA,92620,620000,,,,,,,,,,,,,http://www.redfin.com/CA/Irvine/80-Lamplighter-92620/home/28513775,,,N,Y,33.6996739,-117.7512751
